2025-January-06 11:09:55, Starting the ETL process
2025-Jan-08-16-37-31, INFO: Reduce by region: 2.42 seconds
2025-Jan-08-16-37-34, INFO: Sort by GDP: 2.67 seconds
2025-Jan-08-16-37-42, INFO: Load to database: 8.23 seconds
------------------------------
2025-Jan-08-16-40-08, INFO: Starting the Parallel ETL process
2025-Jan-08-16-40-15, INFO: Extract data: 7.41 seconds
2025-Jan-08-16-40-16, INFO: Transform chunks: 0.87 seconds
2025-Jan-08-16-40-17, INFO: Map by region: 0.76 seconds
2025-Jan-08-16-40-18, INFO: Reduce by region: 0.80 seconds
2025-Jan-08-16-40-18, INFO: Sort by GDP: 0.76 seconds
2025-Jan-08-16-40-19, INFO: Load to database: 0.84 seconds
------------------------------
2025-Jan-08-16-44-25, INFO: Starting the Parallel ETL process
2025-Jan-08-16-44-33, INFO: Extract data: 7.87 seconds
------------------------------
2025-Jan-08-16-50-14, INFO: Starting the Parallel ETL process
2025-Jan-08-16-50-22, INFO: Extract data: 7.92 seconds
------------------------------
2025-Jan-08-16-51-10, INFO: Starting the Parallel ETL process
2025-Jan-08-16-51-18, INFO: Extract data: 7.48 seconds
------------------------------
2025-Jan-08-16-52-59, INFO: Starting the Parallel ETL process
------------------------------
2025-Jan-08-16-53-47, INFO: Starting the Parallel ETL process
2025-Jan-08-16-53-55, INFO: Extract data: 8.57 seconds
2025-Jan-08-16-53-58, INFO: Transform chunks: 3.04 seconds
2025-Jan-08-16-54-01, INFO: Map by region: 3.13 seconds
2025-Jan-08-16-54-04, INFO: Reduce by region: 3.11 seconds
2025-Jan-08-16-54-08, INFO: Sort by GDP: 3.63 seconds
2025-Jan-08-16-54-18, INFO: Load to database: 10.38 seconds
------------------------------
2025-Jan-08-17-10-43, INFO: Starting the Parallel ETL process
2025-Jan-08-17-10-47, INFO: Extract data: 4.39 seconds
------------------------------
2025-Jan-08-17-13-20, INFO: Starting the Parallel ETL process
2025-Jan-08-17-13-24, INFO: Extract data: 4.07 seconds
------------------------------
2025-Jan-08-17-14-10, INFO: Starting the Parallel ETL process
2025-Jan-08-17-14-14, INFO: Extract data: 4.14 seconds
------------------------------
2025-Jan-08-17-14-52, INFO: Starting the Parallel ETL process
2025-Jan-08-17-14-56, INFO: Extract data: 4.22 seconds
------------------------------
2025-Jan-08-17-15-57, INFO: Starting the Parallel ETL process
2025-Jan-08-17-16-01, INFO: Extract data: 4.11 seconds
------------------------------
2025-Jan-08-17-17-06, INFO: Starting the Parallel ETL process
2025-Jan-08-17-17-10, INFO: Extract data: 4.15 seconds
------------------------------
2025-Jan-08-17-20-09, INFO: Starting the Parallel ETL process
2025-Jan-08-17-20-14, INFO: Extract data: 4.38 seconds
------------------------------
2025-Jan-08-17-21-39, INFO: Starting the Parallel ETL process
2025-Jan-08-17-21-43, INFO: Extract data: 4.58 seconds
2025-Jan-08-17-21-48, INFO: Transform chunks: 4.55 seconds
------------------------------
2025-Jan-08-17-22-12, INFO: Starting the Parallel ETL process
2025-Jan-08-17-22-16, INFO: Extract data: 4.12 seconds
2025-Jan-08-17-22-21, INFO: Transform chunks: 4.47 seconds
------------------------------
2025-Jan-08-17-32-55, INFO: Starting the Parallel ETL process
2025-Jan-08-17-33-04, INFO: Extract data: 8.77 seconds
2025-Jan-08-17-33-07, INFO: Transform chunks: 2.90 seconds
2025-Jan-08-17-33-09, INFO: Map by region: 2.78 seconds
2025-Jan-08-17-33-12, INFO: Reduce by region: 2.90 seconds
2025-Jan-08-17-33-16, INFO: Sort by GDP: 3.48 seconds
2025-Jan-08-17-33-26, INFO: Load to database: 10.46 seconds
------------------------------
2025-Jan-08-17-35-25, INFO: Starting the Parallel ETL process
2025-Jan-08-17-35-34, INFO: Extract data: 8.59 seconds
2025-Jan-08-17-35-37, INFO: Transform chunks: 2.82 seconds
2025-Jan-08-17-35-40, INFO: Map by region: 2.84 seconds
2025-Jan-08-17-35-43, INFO: Reduce by region: 2.99 seconds
2025-Jan-08-17-35-46, INFO: Sort by GDP: 3.32 seconds
2025-Jan-08-17-35-56, INFO: Load to database: 10.15 seconds
------------------------------
2025-Jan-08-17-36-50, INFO: Starting the Parallel ETL process
2025-Jan-08-17-36-59, INFO: Extract data: 8.77 seconds
2025-Jan-08-17-37-02, INFO: Transform chunks: 2.99 seconds
2025-Jan-08-17-37-05, INFO: Map by region: 2.80 seconds
2025-Jan-08-17-37-08, INFO: Reduce by region: 2.93 seconds
2025-Jan-08-17-37-11, INFO: Sort by GDP: 3.30 seconds
2025-Jan-08-17-37-14, INFO: Load to database: 2.72 seconds
------------------------------
2025-Jan-08-17-39-49, INFO: Starting the Parallel ETL process
2025-Jan-08-17-39-53, INFO: Extract data: 4.06 seconds
2025-Jan-08-17-39-57, INFO: Transform chunks: 3.25 seconds
2025-Jan-08-17-39-59, INFO: Map by region: 2.81 seconds
2025-Jan-08-17-40-02, INFO: Reduce by region: 3.01 seconds
2025-Jan-08-17-40-06, INFO: Sort by GDP: 3.30 seconds
2025-Jan-08-17-40-09, INFO: Load to database: 2.80 seconds
------------------------------
2025-Jan-08-17-45-51, INFO: Starting the Parallel ETL process
------------------------------
2025-Jan-08-17-48-24, INFO: Starting the Parallel ETL process
2025-Jan-08-17-49-31, INFO: Extract data: 67.17 seconds
2025-Jan-08-17-49-57, INFO: Transform chunks: 26.35 seconds
2025-Jan-08-17-50-20, INFO: Map by region: 22.24 seconds
2025-Jan-08-17-50-44, INFO: Reduce by region: 24.05 seconds
2025-Jan-08-17-51-16, INFO: Sort by GDP: 32.60 seconds
2025-Jan-08-17-51-42, INFO: Load to database: 26.19 seconds
------------------------------
2025-Jan-08-18-02-33, INFO: Query: 4.44 seconds
------------------------------
------------------------------
2025-Jan-08-18-02-53, INFO: Query: 0.01 seconds
------------------------------
2025-Jan-08-18-04-08, INFO: Query: 0.00 seconds
------------------------------
2025-Jan-08-18-04-28, INFO: Query: 4.78 seconds
------------------------------
2025-Jan-08-18-05-55, INFO: Query: 1.69 seconds
------------------------------
2025-Jan-08-18-31-15, INFO: Starting the Parallel ETL process
2025-Jan-08-18-31-19, INFO: Extract data: 4.10 seconds
2025-Jan-08-18-31-22, INFO: Transform chunks: 3.17 seconds
2025-Jan-08-18-31-25, INFO: Map by region: 2.97 seconds
2025-Jan-08-18-31-28, INFO: Reduce by region: 3.31 seconds
2025-Jan-08-18-31-32, INFO: Sort by GDP: 3.54 seconds
2025-Jan-08-18-31-34, INFO: Load to database: 2.75 seconds
2025-Jan-08-18-31-36, INFO: Query: 1.68 seconds
------------------------------
2025-Jan-09-10-42-54, INFO: Starting the Parallel ETL process
2025-Jan-09-10-42-58, INFO: Extract data: 4.13 seconds
------------------------------
2025-Jan-09-10-46-02, INFO: Starting the Parallel ETL process
2025-Jan-09-10-46-15, INFO: Extract data: 13.29 seconds
------------------------------
2025-Jan-09-10-48-06, INFO: Starting the Parallel ETL process
2025-Jan-09-10-48-10, INFO: Extract data: 4.23 seconds
------------------------------
2025-Jan-09-10-48-47, INFO: Starting the Parallel ETL process
2025-Jan-09-10-48-56, INFO: Extract data: 8.90 seconds
------------------------------
2025-Jan-09-10-53-39, INFO: Starting the Parallel ETL process
2025-Jan-09-10-53-44, INFO: Extract data: 4.57 seconds
------------------------------
2025-Jan-09-10-55-40, INFO: Starting the Parallel ETL process
2025-Jan-09-10-55-44, INFO: Extract data: 3.78 seconds
------------------------------
2025-Jan-09-11-38-52, INFO: Starting the ETL process
2025-Jan-09-11-38-52, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-09-11-38-52, INFO: Data imported successfully
2025-Jan-09-11-38-52, INFO: Transforming data...
2025-Jan-09-11-38-52, INFO: Exporting data to /Users/admin/wiki/missions/W1/M3/data/Countries_by_GDP_Transformed.json...
2025-Jan-09-11-38-52, INFO: Data exported successfully
2025-Jan-09-11-38-52, INFO: ETL process completed successfully
